Street,FA,Count of Uid,Lat,Lng
1 14th Street,FA1,1,"407,527,336","-740,239,986"
1 Hermann Park Court,Houston FA 1,4,"297,103,595","-953,818,031"
1 Hudson Yards,FA16,1,"407,532,831","-740,009,541"
1 Lincoln Center Plaza,FA12,1,"407,710,634","-739,818,835"
1 Lincoln Plaza,FA12,1,"407,716,306","-739,818,817"
1 Main Street,FA8,14,"407,033,995","-739,904,851"
1 N 4th Pl,Mitch,39,"407,197,532","-739,648,735"
1 North 4th Place,Mitch,2,"407,198,617","-739,645,622"
1 North 4th Street,Mitch,3,"407,193,007","-739,640,252"
1 River Pl,FA10,34,"407,611,424","-740,003,114"
1 River Pl,FA16,9,"407,611,424","-740,003,114"
1 S 1st st,Mitch,11,"407,157,267","-73,966,546"
1 University Pl,FA16,16,"407,308,738","-739,952,212"
1 University Pl,Mitch,3,"407,308,738","-739,952,212"
1 W St,FA6,3,"40,705,242","-740,161,235"
1 W St,FA12,2,"40,705,242","-740,161,235"
1 W St,FA16,14,"40,705,242","-740,161,235"
1 W St,Mitch,74,"40,705,242","-740,161,235"
1 Wall Street,Mitch,4,"407,071,061","-740,118,801"
1- 10 56th Avenue,Mitch,1,"407,395,277","-739,611,742"
1-50 50th Ave,FA5,1,"407,434,794","-739,590,478"
1-50 50th Ave,Mitch,16,"407,434,794","-739,590,478"
2 12th Street,FA1,2,"407,508,262","-740,244,874"
2 14th St,FA1,2,"407,530,199","-740,240,663"
2 Ash Street,FA2,13,"407,141,073","-74,056,719"
2 Constitution Court,FA16,1,"407,521,593","-740,241,534"
2 Gold St,Mitch,124,"407,074,723","-740,068,304"
2 Marine View Plaza,FA16,1,"407,399,824","-740,285,951"
2 Mount Morris Park West,Mitch,1,"40,803,896","-739,461,977"
2 North 6th Pl,Mitch,14,"407,208,165","-739,631,383"
2 North 6th Street,Mitch,8,"407,208,382","-73,963,485"
2 Northside Piers,Mitch,1,"407,196,518","-73,964,024"
2 River Terrace,FA16,3,"407,153,643","-7,401,597"
2 River Terrace,Mitch,6,"407,153,643","-7,401,597"
2 South End Ave,FA16,2,"407,078,381","-740,174,577"
2 Washingthon St,Mitch,2,"40,705,538","-74,015,579"
2 Washington Square Village,FA8,1,"407,282,871","-739,964,456"
2-01 50th Ave,Mitch,33,"407,439,708","-73,958,493"
2-01 50th Avenue,FA5,3,"40,743,919","-739,584,552"
2-01 50th Avenue,Mitch,2,"40,743,919","-739,584,552"
2-17 51st Ave,Mitch,5,"407,428,814","-739,578,406"
3 Stuyvesant Oval,Mitch,1,"407,313,468","-739,791,169"
3 Washington Square North,FA8,1,"407,310,854","-739,956,456"
4 Beacon Way,FA11,1,"407,231,243","-740,638,668"
4 East 14th Street,Mitch,1,"407,358,307","-73,993,496"
4 Stuyvesant Oval,Mitch,1,"407,319,605","-739,787,064"
4 Stuyvesant Street,Mitch,1,"40,729,789","-73,989,328"
4 Washington Square Village,Mitch,1,"407,269,406","-739,966,687"
4-74 48th Ave,Mitch,1,"407,442,003","-739,568,378"
4-75 48th Ave,FA5,3,"407,448,909","-739,568,403"
5-10 115th Street,FA11,1,"407,904,047","-738,521,521"
5-24 50th Avenue,Mitch,1,"407,427,642","-739,555,561"
6 Burns Street,FA3,4,"407,195,649","-738,462,185"
7 Peter Cooper Road,Mitch,7,"407,345,317","-739,752,721"
7 Stuyvesant Oval,Mitch,1,"40,732,088","-73,979,402"
8 Peter Cooper Road,Mitch,9,"407,340,466","-739,752,499"
8 Spruce St,Mitch,15,"407,110,926","-740,056,438"
10 Avenue P,FA11,2,"406,067,092","-739,878,838"
10 Barclay St,Mitch,5,"407,122,236","-740,091,061"
10 Confucius Plaza,Mitch,1,"407,149,415","-739,962,865"
10 Hanover Square,FA8,2,"407,046,069","-740,088,274"
10 Hanover Square,Mitch,84,"407,046,069","-740,088,274"
10 Huron Ave,Mitch,8,"407,363,974","-740,616,193"
10 Liberty St,Mitch,22,"407,073,488","-740,082,765"
10 Provost St,FA11,7,"407,202,811","-740,387,351"
10 Regent St,FA3,2,"407,155,004","-740,465,834"
10 Strathmore Road,Mitch,1,"423,359,305","-711,456,175"
10-03 48th Avenue,Mitch,1,"407,441,731","-739,531,111"
